Referencias,,,,,,,,,
4.3,Módulo Médico,"Consulta de HC, registro de diagnóstico (Condition FHIR), prescripción (MedicationRequest FHIR).",Condition + MedicationRequest registrados en FHIR; HC consultable con historial completo.,Diagnóstico registrado pero prescripción solo local.,Módulo de registro sin conexión real al servidor FHIR.,Módulo no existe o no funciona.,5%, , 
4.4,Módulo Resultados / Historia Clínica,Vista consolidada de la HC: Patient + Encounter + Observations + Conditions + MedicationRequests.,Vista completa de HC cruzando datos de los 3 nodos; exporta PDF o imprime resumen.,Vista de HC pero solo de un nodo; sin cruce entre nodos.,Vista parcial de algunos recursos FHIR.,Módulo no existe o no muestra datos FHIR.,5%, , 
4.5,Sistema de Reportes,"Dashboard con estadísticas: pacientes por nodo, diagnósticos frecuentes, tiempos de atención.",Dashboard en tiempo real con ≥4 métricas clínicas/operacionales y gráficas.,Dashboard con ≥2 métricas; actualización manual.,Reporte estático (tabla sin gráficas).,Sin módulo de reportes.,5%, , 
⚠️ TOLERANCIA A FALLOS,,,,,,,,,
5.1,Simulación Caída de BD,Prototipo demuestra el comportamiento del sistema cuando se desconecta la BD de un nodo.,"Sistema detecta caída, redirige a nodo secundario en <5s, muestra alerta al usuario; BD vuelve y se resincroniza.",Detección de caída y redirección funcional pero sin resincronización automática.,Sistema detecta caída pero queda inoperable hasta reinicio manual.,Sin manejo de caída de BD; sistema colapsa.,8%, , 
5.2,Simulación Desconexión de Nodo,Desconexión de un nodo completo (red) y continuidad del servicio en los nodos restantes.,2 nodos continúan operando con datos actualizados; alertas en dashboard; reconexión automática.,2 nodos operativos pero sin datos actualizados; reconexión manual.,Sistema degradado; algunas funciones no operan.,Sistema falla completamente al desconectar un nodo.,7%, , 
5.3,Logs y Monitoreo,Stack de observabilidad: Prometheus + Grafana o ELK mostrando métricas de los 3 nodos.,"Prometheus + Grafana con paneles de uptime, latencia y errores de los 3 nodos en tiempo real.",Grafana funcional con ≥2 métricas; sin alertas configuradas.,Logs en consola; sin stack de observabilidad visual.,Sin logs ni monitoreo.,5%, , 
📁 DOCUMENTACIÓN Y GITHUB,,,,,,,,,
6.1,Repositorio GitHub,"Repositorio estructurado con README, docker-compose.yml, colección Postman y evidencias.","README completo con instrucciones de despliegue, diagrama de arquitectura, colección Postman exportada, capturas del sistema funcionando.",README con instrucciones básicas; falta colección Postman o diagrama.,Repositorio con código pero sin documentación.,Sin repositorio o repositorio vacío.,5%, , 
6.2,Paper / Informe Técnico IEEE,"Documento IEEE ≤7 páginas con introducción, marco teórico, metodología, resultados y referencias.","Paper completo, ≤7 páginas, formato IEEE, ≥8 referencias recientes, gráficas propias.",Paper con todas las secciones pero <8 referencias o >7 páginas.,Informe informal sin formato IEEE.,Sin informe o entrega incompleta.,5%, , 
6.3,Sustentación Oral,"Presentación de máx. 15 min: arquitectura, demo en vivo y respuesta a preguntas técnicas.","Demo en vivo exitosa, respuestas precisas a preguntas de fallo/consistencia/FHIR.",Demo parcial; respuestas correctas pero poco detalladas.,Demo con errores; respuestas superficiales.,No presenta o demo no funciona en vivo.,3%,,
