    table_name     | shardid |     nodename      | nodeport 
 tecnologia_salud  |  102076 | citus_worker1     |     5432
 tecnologia_salud  |  102077 | citus_worker2     |     5432
 tecnologia_salud  |  102078 | citus_worker1     |     5432
 tecnologia_salud  |  102079 | citus_worker2     |     5432
 tecnologia_salud  |  102080 | citus_worker1     |     5432
 tecnologia_salud  |  102081 | citus_worker2     |     5432
 tecnologia_salud  |  102082 | citus_worker1     |     5432
 tecnologia_salud  |  102083 | citus_worker2     |     5432
 tecnologia_salud  |  102084 | citus_worker1     |     5432
 tecnologia_salud  |  102085 | citus_worker2     |     5432
 tecnologia_salud  |  102086 | citus_worker1     |     5432
 tecnologia_salud  |  102087 | citus_worker2     |     5432
 tecnologia_salud  |  102088 | citus_worker1     |     5432
 tecnologia_salud  |  102089 | citus_worker2     |     5432
 tecnologia_salud  |  102090 | citus_worker1     |     5432
 tecnologia_salud  |  102091 | citus_worker2     |     5432
 tecnologia_salud  |  102092 | citus_worker1     |     5432
 tecnologia_salud  |  102093 | citus_worker2     |     5432
 tecnologia_salud  |  102094 | citus_worker1     |     5432
 tecnologia_salud  |  102095 | citus_worker2     |     5432
 tecnologia_salud  |  102096 | citus_worker1     |     5432
 tecnologia_salud  |  102097 | citus_worker2     |     5432
 tecnologia_salud  |  102098 | citus_worker1     |     5432
 tecnologia_salud  |  102099 | citus_worker2     |     5432
 tecnologia_salud  |  102100 | citus_worker1     |     5432
 tecnologia_salud  |  102101 | citus_worker2     |     5432
 tecnologia_salud  |  102102 | citus_worker1     |     5432
 tecnologia_salud  |  102103 | citus_worker2     |     5432
 diagnostico       |  102104 | citus_worker1     |     5432
 diagnostico       |  102105 | citus_worker2     |     5432
 diagnostico       |  102106 | citus_worker1     |     5432
 diagnostico       |  102107 | citus_worker2     |     5432
 diagnostico       |  102108 | citus_worker1     |     5432
 diagnostico       |  102109 | citus_worker2     |     5432
 diagnostico       |  102110 | citus_worker1     |     5432
 diagnostico       |  102111 | citus_worker2     |     5432
 diagnostico       |  102112 | citus_worker1     |     5432
 diagnostico       |  102113 | citus_worker2     |     5432
 diagnostico       |  102114 | citus_worker1     |     5432
 diagnostico       |  102115 | citus_worker2     |     5432
 diagnostico       |  102116 | citus_worker1     |     5432
 diagnostico       |  102117 | citus_worker2     |     5432
 diagnostico       |  102118 | citus_worker1     |     5432
 diagnostico       |  102119 | citus_worker2     |     5432
 diagnostico       |  102120 | citus_worker1     |     5432
 diagnostico       |  102121 | citus_worker2     |     5432
 diagnostico       |  102122 | citus_worker1     |     5432
 diagnostico       |  102123 | citus_worker2     |     5432
 diagnostico       |  102124 | citus_worker1     |     5432
 diagnostico       |  102125 | citus_worker2     |     5432
 diagnostico       |  102126 | citus_worker1     |     5432
 diagnostico       |  102127 | citus_worker2     |     5432
 diagnostico       |  102128 | citus_worker1     |     5432
 diagnostico       |  102129 | citus_worker2     |     5432
 diagnostico       |  102130 | citus_worker1     |     5432
 diagnostico       |  102131 | citus_worker2     |     5432
 diagnostico       |  102132 | citus_worker1     |     5432
 diagnostico       |  102133 | citus_worker2     |     5432
 diagnostico       |  102134 | citus_worker1     |     5432
 diagnostico       |  102135 | citus_worker2     |     5432
 egreso            |  102136 | citus_worker1     |     5432
 egreso            |  102137 | citus_worker2     |     5432
 egreso            |  102138 | citus_worker1     |     5432
 egreso            |  102139 | citus_worker2     |     5432
 egreso            |  102140 | citus_worker1     |     5432
 egreso            |  102141 | citus_worker2     |     5432
 egreso            |  102142 | citus_worker1     |     5432
 egreso            |  102143 | citus_worker2     |     5432
 egreso            |  102144 | citus_worker1     |     5432
 egreso            |  102145 | citus_worker2     |     5432
 egreso            |  102146 | citus_worker1     |     5432
 egreso            |  102147 | citus_worker2     |     5432
 egreso            |  102148 | citus_worker1     |     5432
 egreso            |  102149 | citus_worker2     |     5432
 egreso            |  102150 | citus_worker1     |     5432
 egreso            |  102151 | citus_worker2     |     5432
 egreso            |  102152 | citus_worker1     |     5432
 egreso            |  102153 | citus_worker2     |     5432
 egreso            |  102154 | citus_worker1     |     5432
 egreso            |  102155 | citus_worker2     |     5432
 egreso            |  102156 | citus_worker1     |     5432
 egreso            |  102157 | citus_worker2     |     5432
 egreso            |  102158 | citus_worker1     |     5432
 egreso            |  102159 | citus_worker2     |     5432
 egreso            |  102160 | citus_worker1     |     5432
 egreso            |  102161 | citus_worker2     |     5432
 egreso            |  102162 | citus_worker1     |     5432
 egreso            |  102163 | citus_worker2     |     5432
 egreso            |  102164 | citus_worker1     |     5432
 egreso            |  102165 | citus_worker2     |     5432
 egreso            |  102166 | citus_worker1     |     5432
 egreso            |  102167 | citus_worker2     |     5432
 profesional_salud |  102168 | citus_coordinator |     5432
 profesional_salud |  102168 | citus_worker2     |     5432
 profesional_salud |  102168 | citus_worker1     |     5432
(163 rows)

